Character / Team,Year Debuted,Company,Creator/s,First Appearance,Decade
Javelin,1984,DC,"Dennis O'Neil, Mike Sekowsky, Dick Giordano",Green Lantern (vol. 2) #173,1980
Tsunami,1984,DC,,All-Star Squadron #33,1980
Shredder,1984,Mirage,"Kevin Eastman, Peter Laird",Teenage Mutant Ninja Turtles (vol. 1) #1,1980
Jericho,1984,DC,"Marv Wolfman, George Pérez",Tales of the Teen Titans #43,1980
Titania,1984,Marvel,"Jim Shooter, Mike Zeck",Secret Wars #3,1980
Magus (X-Men),1984,Marvel,"Chris Claremont, Bill Sienkiewicz",New Mutants (vol.1) #18,1980
Answer,1984,Marvel,,Spectacular Spider-Man Vol.2 #92,1980
Freedom Force,1985,Marvel,"Chris Claremont, John Romita Jr",Uncany X-Men #199,1980
Anti-Monitor,1985,DC,"Marv Wolfman, George Pérez, Jerry Ordway",Crisis on Infinite Earths #2,1980
Armadillo,1985,Marvel,"Mark Gruenwald, Paul Neary, Dennis Janke",Captain America #308,1980
Black Mask,1985,DC,"Doug Moench, Tom Mandrake",Batman #386,1980
Jinx,1985,DC,"Marv Wolfman, Chuck Patton",Tales of the Teen Titans #56,1980
Spiral,1985,Marvel,"Ann Nocienti, Art Adams",Longshot #1,1980
Ghaur,1985,Marvel,"Peter B. Gillis, Sal Buscema","Eternals v2, #2",1980
Flag-Smasher,1985,Marvel,"Mark Gruenwald, Paul Neary",Captain America #312,1980
Nebula,1985,Marvel,"Roger Stern, John Buscema",The Avengers #257,1980
Weasel,1985,DC,"Gerry Conway, Rafael Kayanan",The Fury of Firestorm #35,1980
Superboy-Prime,1985,DC,"Elliot S! Maggin, Curt Swan",DC Comics Presents #87,1980
Film Freak,1986,DC,,Batman #395,1980
Master Pandemonium,1986,Marvel,,West Coast Avengers #4,1980
Battleaxe,1986,Marvel,"Michael Carlin, Ron Wilson",The Thing #33,1980
Apocalypse,1986,Marvel,"Louise Simonson, Jackson Guice",X-Factor #5,1980
Headlok,1986,Marvel,"Steve Englehart, Al Milgrom",West Coast Avengers #10,1980
Halflife,1986,Marvel,"Steve Englehart, Al Milgrom",West Coast Avengers #12,1980
Quantum,1986,Marvel,"Steve Englehart, Al Milgrom",West Coast Avengers #12,1980
Magpie,1986,DC,,Batman #401,1980
Carmine Falcone,1987,DC,"Frank Miller, David Mazzucchelli",Batman #405,1980
Icicle (Cameron),1987,DC,"Roy Thomas, Dann Thomas, Todd McFarlane","Infinity, Inc. #34",1980
Famine,1987,Marvel,"Louise Simonson, Walter Simonson",X-Factor #12,1980
Artemis Crock,1987,DC,"Roy Thomas, Todd McFarlane","Infinity, Inc. #34",1980
Axis Amerika,1987,DC,Roy Thomas,Young All-Stars #1,1980
Amazing Grace,1987,DC,John Byrne,Superman (Vol. 2) #3,1980
Bloodsport,1987,DC,,Superman #4,1980
Commissioner Gillian B. Loeb,1987,DC,,Batman: Year One,1980
"Deuce, Charger",1987,DC,"Marv Wolfman, Jerry Ordway",Adventures of Superman #430,1980
Maxwell Lord,1987,DC,"Keith Giffen, J. M. DeMatteis",Justice League (vol. 1) #1,1980
Mister Sinister,1987,Marvel,"Chris Claremont, Mark Silvestri",Uncanny X-Men #221,1980
Prometheus,1987,DC,"Curt Calhoun: Marv Wolfman; Morrison's Prometheus: Grant Morrison, Arnie Jorgensen",Curt Calhoun: Blue Beetle #12; Morrison's Prometheus: New Year's Evil: Prometheus #1,1980
Reaper,1987,DC,,Batman: Year Two,1980
Silver Banshee,1987,DC,John Byrne,Action Comics #595,1980
Ventriloquist,1988,DC,"Alan Grant, John Wagner, Norm Breyfogle",Detective Comics #583,1980
Major Force,1988,DC,"Cary Bates, Greg Weisman, Pat Broderick","Captain Atom v3, #12",1980
KGBeast,1988,DC,"Jim Starlin, Jim Aparo",Batman #417,1980
Ratcatcher,1988,DC,"Alan Grant, John Wagner, Norm Breyfogle",Detective Comics #585,1980
Cold War,1988,Marvel,,Marvel Comics Presents #2,1980
Deacon Blackfire,1988,DC,,The Cult,1980
Venom,1988,Marvel,"David Michelinie, Todd McFarlane",The Amazing Spider-Man #299,1980
Misfit,1989,Marvel,"Mark Gruenwald, Al Milgrom",West Coast Avengers #40,1980
Blockbuster,1989,DC,"Roger Stern, Tom Lyle",Starman #9,1980
Portal,1989,Marvel,,Avengers #304,1980
Maxima,1989,DC,"Roger Stern, George Pérez",Action Comics #645,1980
